Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,165.639411,-73.585589,45,top
C2,0.1uF,C_0402_1005Metric,162.95,-84.705,-90,top
C3,0.1uF,C_0402_1005Metric,155.32,-79.6,180,top
C4,0.1uF,C_0402_1005Metric,155.695,-75,180,top
C5,0.1uF,C_0402_1005Metric,164.175,-73.62,90,top
C6,0.1uF,C_0402_1005Metric,161.075,-68.745,90,top
C7,0.1uF,C_0402_1005Metric,162.025,-67.745,90,top
C8,0.1uF,C_0402_1005Metric,165.72,-75.025,0,top
C9,0.1uF,C_0402_1005Metric,166.02,-79.525,0,top
C10,1uF,C_0402_1005Metric,163.2,-73.345,90,top
C11,0.1uF,C_0402_1005Metric,164,-84.72,-90,top
C12,0.1uF,C_0402_1005Metric,160.05,-68.745,90,top
C13,10uF,C_0402_1005Metric,157.98,-59.675,180,top
C14,10uF,C_0402_1005Metric,157.97,-64.5,180,top
C15,33pF,C_0402_1005Metric,157.675,-86.67,-90,top
C16,33pF,C_0402_1005Metric,162.95,-86.605,90,top
C17,0.1uF,C_0402_1005Metric,158.395,-69.1,180,top
D1,D_Schottky,D_SOD-123,157.9,-58.025,180,top
D2,D_Schottky,D_SOD-123,165.5,-97.65,90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.5,-51.5,180,top
R1,5.1K,R_0402_1005Metric,161.95,-57.85,-90,top
R2,5.1K,R_0402_1005Metric,155.025,-57.8,-90,top
R3,27,R_0402_1005Metric,161.175,-72.74,90,top
R4,27,R_0402_1005Metric,162.175,-72.74,90,top
R5,1K,R_0402_1005Metric,161.465,-84.275,0,top
R6,1K,R_0402_1005Metric,156.44,-68,180,top
R7,10K,R_0402_1005Metric,156.415,-69.125,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,163.675,-63.35,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,160.5,-78.5,0,top
U2,MCP1700x-330xxTT,SOT-23,158,-62.1125,90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,157.3,-71.075,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,160.3,-86.575,180,top
